[01:26:14] New map: gm_flatgrass
[01:30:06] RusLanConnection<STEAM_0:0:238810681> spawned model models/weapons/w_pist_usp_silencer.mdl
[01:30:06] RusLanConnection<STEAM_0:0:238810681> spawned model models/weapons/w_pist_usp_silencer.mdl
[01:30:06] RusLanConnection<STEAM_0:0:238810681> spawned model models/weapons/w_pist_usp_silencer.mdl
[01:30:06] RusLanConnection<STEAM_0:0:238810681> spawned model models/weapons/w_pist_usp_silencer.mdl
[01:30:06] RusLanConnection<STEAM_0:0:238810681> spawned model models/weapons/w_pist_usp_silencer.mdl
[01:30:06] RusLanConnection<STEAM_0:0:238810681> spawned model models/weapons/w_pist_usp_silencer.mdl
[01:35:06] Server is shutting down/changing levels.



[01:35:24] New map: gm_flatgrass
[01:38:03] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_ammo_crate
[01:41:02] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_muzz_supp_compact
[01:41:06] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_tac_cornershot
[01:41:08] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_att_optic_okp7
[01:41:43] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_ammo_crate
[01:43:39] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_ammo_crate
[01:45:03] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_junk/wood_crate001a.mdl
[01:47:36] Server is shutting down/changing levels.



[01:47:55] New map: gm_flatgrass
[01:48:11] Client "haveaniceday." connected.
[01:49:00] Client "haveaniceday." spawned in server <STEAM_0:0:136760122> (took 49 seconds).
[01:49:23] RusLanConnection suicided!
[01:49:29] RusLanConnection killed haveaniceday. using player
[01:49:42] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_c17/concrete_barrier001a.mdl
[01:49:52] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_c17/concrete_barrier001a.mdl
[01:50:03] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/concrete_barrier001a.mdl
[01:50:04] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_c17/oildrum001.mdl
[01:50:14] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_junk/wood_crate001a_damaged.mdl
[01:50:28] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_ammo_crate
[01:50:36] RusLanConnection killed haveaniceday. using player
[01:50:50] RusLanConnection killed haveaniceday. using player
[01:50:58] haveaniceday.<STEAM_0:0:136760122> spawned sent tacrp_ammo_crate
[01:51:29] haveaniceday.<STEAM_0:0:136760122> spawned sent item_healthkit
[01:51:29] haveaniceday.<STEAM_0:0:136760122> spawned sent item_healthkit
[01:51:33] haveaniceday.<STEAM_0:0:136760122> spawned sent item_healthkit
[01:51:35] haveaniceday.<STEAM_0:0:136760122> spawned sent item_healthkit
[01:51:36] haveaniceday.<STEAM_0:0:136760122> spawned sent item_healthkit
[01:51:56] RusLanConnection suicided!
[01:52:42] Server is shutting down/changing levels.



[01:53:01] New map: gm_flatgrass
[01:53:04] Client "haveaniceday." connected.
[01:53:27] Client "haveaniceday." spawned in server <STEAM_0:0:136760122> (took 23 seconds).
[01:54:01] RusLanConnection killed haveaniceday. using player
[01:54:16] haveaniceday. killed RusLanConnection using player
[01:54:31] RusLanConnection killed haveaniceday. using player
[01:54:57] RusLanConnection killed haveaniceday. using player
[01:55:07] RusLanConnection killed haveaniceday. using player
[01:55:21] RusLanConnection killed haveaniceday. using player
[01:55:29] RusLanConnection killed haveaniceday. using player
[01:55:40] haveaniceday. killed RusLanConnection using player
[01:55:54] RusLanConnection<STEAM_0:0:238810681> spawned sent tacrp_ammo_crate
[01:55:57] haveaniceday.<STEAM_0:0:136760122> spawned vehicle models/props_phx/carseat2.mdl
[01:55:57] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_junk/bicycle01a.mdl
[01:55:57] haveaniceday.<STEAM_0:0:136760122> spawned model models/squad/sf_bars/sf_bar5.mdl
[01:56:22] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[01:56:22] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[01:56:22] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[01:56:22] haveaniceday.<STEAM_0:0:136760122> spawned ragdoll models/humans/charple01.mdl
[01:56:22] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[01:56:26] haveaniceday. killed RusLanConnection using gmod_dynamite
[01:56:29] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[01:56:29] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
[01:56:29] haveaniceday.<STEAM_0:0:136760122> spawned model models/props_phx/construct/wood/wood_boardx1.mdl
