[04:18:10] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_114_hellfire_guided
[04:18:10] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_114_hellfire_guided
[04:18:25] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_65_guided
[04:18:34] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:18:41] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:18:48] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:18:56] RusLanConnection<STEAM_0:0:238810681> spawned sent mbda_meteor_guided
[04:19:05] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_harpoon_launcher
[04:19:25] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:19:48] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_dumb
[04:19:51] RusLanConnection killed RusLanConnection
[04:20:49] RusLanConnection<STEAM_0:0:238810681> spawned sent bgm_109_tomahawk_dumb
[04:20:51] RusLanConnection<STEAM_0:0:238810681> spawned sent mbda_meteor_dumb
[04:20:58] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_dumb
[04:21:02] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_dumb
[04:21:09] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_dumb
[04:21:18] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_114_hellfire_dumb
[04:21:38] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_114_hellfire_guided
[04:21:39] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_114_hellfire_guided
[04:21:44] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_114_hellfire_guided
[04:21:54] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_65_guided
[04:21:58] RusLanConnection<STEAM_0:0:238810681> spawned sent av_tm_300_guided
[04:22:00] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:23] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:30] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:31] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:31] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:32] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:32] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:32] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:32] RusLanConnection<STEAM_0:0:238810681> spawned sent amraam_launcher
[04:22:51] RusLanConnection<STEAM_0:0:238810681> spawned sent ir_target
[04:22:53] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_114_hellfire_guided
[04:23:09] RusLanConnection<STEAM_0:0:238810681> spawned sent aim_120d_amraam_guided
[04:23:16] RusLanConnection<STEAM_0:0:238810681> spawned sent rgm_84_harpoon_guided
[04:23:22] RusLanConnection<STEAM_0:0:238810681> spawned sent ir_target
[04:23:24] RusLanConnection<STEAM_0:0:238810681> spawned sent mbda_meteor_guided
[04:23:29] RusLanConnection<STEAM_0:0:238810681> spawned sent mbda_meteor_guided
[04:23:30] RusLanConnection<STEAM_0:0:238810681> spawned sent mbda_meteor_guided
[04:23:37] RusLanConnection<STEAM_0:0:238810681> spawned sent ir_target
[04:23:41] RusLanConnection<STEAM_0:0:238810681> spawned sent mbda_meteor_guided
[04:23:57] RusLanConnection<STEAM_0:0:238810681> spawned sent ir_target
[04:24:04] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_114_hellfire_guided
[04:24:10] RusLanConnection<STEAM_0:0:238810681> spawned sent agm_65_guided
