[19:16:15] New map: gm_sro
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/rotator.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/missilepods.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/rotator.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/missilepods.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/rotator.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned model models/sam_model/missilepods.mdl
[19:24:29] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/player/kleiner.mdl
[19:24:50] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_helicopter_rebel
[19:24:56] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:25:13] RusLanConnection was killed by joes_sam_turret_lvs
[19:26:05] RusLanConnection<STEAM_0:0:238810681> spawned sent joes_sam_turret_lvs
[19:27:05] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eztoolbox
[19:27:12] Client "Redoket" connected.
[19:27:15] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_eztoolbox
[19:27:41] Client "Redoket" spawned in server <STEAM_0:1:545449619> (took 29 seconds).
[19:28:59] Redoket<STEAM_0:1:545449619> spawned model models/props_junk/popcan01a.mdl
[19:30:21] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_bm13
[19:30:24] RusLanConnection<STEAM_0:0:238810681> spawned sent lvs_wheeldrive_bm13
[19:30:39] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezammo
[19:30:40] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmunitions
[19:30:42] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmunitions
[19:30:42] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmunitions
[19:30:42] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmunitions
[19:30:42] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezmunitions
[19:31:13] Redoket<STEAM_0:1:545449619> spawned sent lvs_wheeldrive_pz1bison
[19:31:16] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezincendiarybomb
[19:31:47] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezincendiarybomb
[19:31:47] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezclusterbomb
[19:31:48] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezhebomb
[19:31:49] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezchlorinebomb
[19:31:56] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:31:57] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:31:58] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:31:59] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:31:59] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:00] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:01] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:01] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:17] RusLanConnection killed RusLanConnection
[19:32:40] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:40] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:40] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:41] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:41] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:41] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:41] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:32:41] Redoket<STEAM_0:1:545449619> spawned sent ent_jack_gmod_ezhebomb
[19:34:13] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_ezgasnade
