[20:04:18] New map: gm_csgoagency
[20:04:50] Server is shutting down/changing levels.



[20:05:14] New map: gm_csgoagency
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/trash_can_p8.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/rubbish/bm_rub_battery.mdl
[20:05:53] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[20:09:27] RusLanConnection<STEAM_0:0:238810681> spawned sent drc_editablelightvolume
[20:09:32] RusLanConnection<STEAM_0:0:238810681> spawned sent volume_cloud
[20:09:35] RusLanConnection<STEAM_0:0:238810681> spawned sent volume_cloud
[20:09:47] RusLanConnection<STEAM_0:0:238810681> spawned sent expensive_light_new
[20:09:51] RusLanConnection<STEAM_0:0:238810681> spawned sent expensive_light
[20:09:53] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_nukeflash
[20:09:55] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_nukeflash
[20:10:00] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_nukeflash
[20:10:03] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_nukeflash
[20:10:05] RusLanConnection<STEAM_0:0:238810681> spawned sent ent_jack_gmod_nukeflash
[20:11:46] RusLanConnection<STEAM_0:0:238810681> spawned ragdoll models/dpfilms/metropolice/phoenix_police.mdl
[20:11:53] RusLanConnection<STEAM_0:0:238810681> spawned sent projected_light_new
[20:12:22] RusLanConnection<STEAM_0:0:238810681> spawned sent projected_light_new
[20:19:52] Server is shutting down/changing levels.
