[14:51:52] New map: gm_csgoagency
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/sal/trash/card5.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/clipboard01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_bottles3.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/mark2580/gtav/mp_office_03c/accessories/award_gold.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta_prop_michou/v_med_testtubes.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_15.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/projector_remote.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/bins/cj_bin_11_f0.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/monitor01.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props_interiors/coffee_maker.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/microwave.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/props/cs_office/coffee_mug.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05b_f1.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/agency/electrical/keyboard.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/gta4/props/roadside/sign/ny_sign_05_f1.mdl
[14:53:16] RusLanConnection<STEAM_0:0:238810681> spawned model models/hunter/blocks/cube025x025x025.mdl
